            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Was not taught culture at school,22.2,41.7,42.9,66.7,60,51.4,,19.7,13.7,16,14.4,11.9,6.5
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Australia,,,,,,,,,,,,,
Was taught culture at school,60.5,57.3,40.1,32.5,19.9,43.1,,5.3,4.7,4.2,4.5,3.4,2.4
Was not taught culture at school,40.6,42.4,60,67.2,80.1,56.8,,5.3,4.7,4.2,4.5,3,2.4
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Cells in this table containing data have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,
* Estimate has a relative standard error of 25% to 50% and should be used with caution.,,,,,,,,,,,,,
** Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,, ,,,,,,,,,
,,,,,,,,,,,,,
© Commonwealth of Australia 2024,,,,,,,,,,,,,
,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,
