"Table D3.08.4: Reasons for Indigenous Australians not accessing health services when needed, by jurisdiction, 2018–19 (%)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
    Felt it would be inadequate,7.2‡ ,12.3†,9.2†,10.9†,10.6†,7.0‡ ,5.3‡ ,11.8†,9.5
    Does not trust doctor,2.6‡ ,7.9†,2.8‡ ,4.5‡ ,6.1†,12.3†,5.3‡ ,5.9†,4.1
Sub-total,23.6,23.7,22.8†,20.9†,19.7†,24.6,21.1‡ ,15.7†,21.5
Personal reasons,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",31.7,30.7,31.2,36.4,40.9,35.1†,36.8†,39.2,32.8
    Decided not to seek care,34.9,33.3,26.8†,21.8†,37.9,26.3,21.1†,15.7†,27.9
Sub-total,61.1,59.6,55.2,50,68.2,54.4,52.6,52.9,57.6
Other,12.7†,10.5†,13.6†,7.3†,7.6†,3.5‡ ,10.5†,3.9‡ ,11.2
"Total who needed to visit doctor, but didn’t",34711,11392,25039,11022,6614,5691,1888,5143,102033
"Whether needed to go to other health professional in last 12 months, but didn't(c)",,,,,,,,,
Yes,9.2,13,8.5,8.5,10.5,11.1,19.5,5.2,9
No,91.3,86.9,91.5,91.6,89.5,89.3,80.5,94.5,91.1
Total persons(b),271929,60224,228907,99793,42994,29756,7720,72719,814013
Why didn’t go to other health professional (OHP)(b)(c),,,,,,,,,
Cost,41.4,53.8,30.4†,31.8,22.2†,36.4†,40,10.5‡ ,36.2
Logistical reasons,,,,,,,,,
Waiting time too long or not available at time required,11.6†,16.7†,12.4†,4.7†,20.0†,15.2†,33.3‡ ,18.4†,12.9
Transport/distance,8.0†,11.5‡ ,7.2‡ ,9.4†,20.0†,12.1†,6.7‡ ,5.3‡ ,8.6
[service] Not available in area,4.4‡ ,9.0‡ ,7.7‡ ,3.5‡ ,2.2‡ ,3.0‡ ,0,10.5‡ ,6.2†
Sub-total,14.3†,33.3,28.4,18.8,33.3†,24.2†,53.3†,31.6,24.5
Cultural appropriateness of service,,,,,,,,,
Discrimination/ not culturally appropriate/ language problems,0,0,0,7.1‡ ,2.2‡ ,0,0,2.6‡ ,1.1‡ 
"Dislikes service/professional, embarrassed, afraid",21.9†,6.4†,4.1‡ ,4.7†,11.1†,9.1†,6.7‡ ,2.6‡ ,10.8
Felt it would be inadequate,4.8‡ ,3.8‡ ,2.6‡ ,3.5‡ ,8.9‡ ,9.1†,26.7‡ ,13.2‡ ,5.2†
Does not trust other health professional,4.0‡ ,2.6‡ ,2.1‡ ,3.5†,6.7‡ ,6.1†,0,0,2.9†
Sub-total,24.7†,15.4†,10.8†,15.3†,15.6†,15.2†,33.3‡ ,18.4†,17.1
Personal reasons,,,,,,,,,
"Too busy (including work, personal or family responsibilities)",26.7†,32.1,27.3,27.1†,40.0†,39.4†,46.7†,39.5,31.1
Decided not to seek care,13.5†,17.9,18.0†,31.8,22.2†,15.2†,40.0‡ ,18.4,17.7
Sub-total,37.8,46.2,42.8,55.3,51.1,48.5,60.0†,47.4,45.8
Other,8.0†,1.3‡ ,5.2†,3.5‡ ,11.1†,12.1†,13.3†,2.6†,6.3
Total who needed to visit OHP but didn’t,25072,7804,19418,8464,4486,3293,1451,3823,73040
"Whether needed to go to hospital in the last 12 months, but didn’t ",,,,,,,,,
Yes,6.9,9,5,6,7.9,7.4,9.1,4.3,6.2
No,93.6,90.9,94.9,93.9,92.1,91.9,92.2,95.5,93.8
Total persons,271929,60224,228907,99793,42994,29756,7720,72719,814013
Why didn’t visit hospital(b),,,,,,,,,
Cost,7.0‡ ,3.7‡ ,2.6‡ ,11.7†,11.8‡ ,4.5†,0,6.5‡ ,5.5†
Logistical reasons,,,,,,,,,
    Waiting time too long or not available at time required,20.3†,27.8†,24.3†,16.7†,14.7†,22.7†,28.6†,12.9†,20.2
    Transport/distance,8.0‡ ,11.1†,9.6‡ ,23.3,8.8†,9.1‡ ,14.3†,25.8†,11.7
    [service] Not available in area,0.5‡ ,1.9‡ ,1.7‡ ,0,2.9‡ ,0,0,3.2‡ ,1.6‡ 
Sub-total,26.7†,40.7,31.3†,36.7,29.4,31.8,42.9,35.5,29.6
Cultural appropriateness of service,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,3.2‡ ,1.9‡ ,4.3‡ ,16.7†,2.9‡ ,9.1‡ ,14.3‡ ,0,4.7†
"    Dislikes service/professional, embarrassed, afraid",22.5,20.4†,27.0†,8.3†,8.8‡ ,27.3†,28.6‡ ,9.7†,17.4
    Felt it would be inadequate,10.7†,22.2†,6.1‡ ,21.7†,23.5‡ ,18.2†,28.6†,3.2‡ ,12.1
    Does not trust the hospital,20.3†,5.6†,7.0‡ ,13.3‡ ,5.9‡ ,4.5‡ ,14.3‡ ,9.7†,11.5
Sub-total,35.8,38.9†,33.9†,38.3,41.2†,36.4†,42.9†,9.7†,33.4
Personal reasons,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",20.3†,31.5†,31.3,25.0†,11.8†,22.7†,14.3‡ ,35.5†,24.5
    Decided not to seek care,33.7,20.4†,36.5†,26.7†,17.6†,31.8,42.9†,16.1,30
Sub-total,50.3,51.9,60,51.7,26.5,45.5,57.1,48.4†,51.6
Other,22.5†,9.3†,20.0†,11.7†,38.2†,18.2†,14.3‡ ,3.2‡ ,16.8
"Total who needed to visit hospital, but didn’t",18669,5373,11478,5987,3376,2165,661,3142,50646
"Whether needed to see a counsellor in last 12 months, but didn't(d)",,,,,,,,,
Yes,11,11.3,7.7,10.1,16.3,10.6,18.8†,3.5,9.6
No,88.8,89.3,92.1,90.6,82.9,88.9,79.2,96.5,90.4
Total persons(e),161818,35373,131099,58359,25126,18000,4764,46149,480726
Reasons didn't go to counsellor(b)(d),,,,,,,,,
Cost,12.4†,35.0†,14.9†,18.6†,12.2†,10.5‡ ,22.2†,0,13.6
Logistical reasons,,,,,,,,,
    Waiting time too long or not available at time required,7.3‡ ,7.5†,19.8‡ ,3.4†,4.9‡ ,10.5‡ ,44.4‡ ,6.2‡ ,10.0†
    Transport/distance,7.9‡ ,7.5‡ ,9.9†,18.6†,14.6‡ ,5.3‡ ,0,12.5†,9.5†
    [service] Not available in area,5.6‡ ,5.0‡ ,10.9‡ ,8.5†,2.4‡ ,5.3‡ ,0,6.2‡ ,6.7†
Sub-total,19.1†,22.5‡ ,26.7†,18.6†,22.0†,15.8†,44.4‡ ,18.7†,22.3
Cultural appropriateness of service,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,3.4‡ ,10.0†,2.0‡ ,1.7‡ ,7.3‡ ,0,11.1‡ ,6.2†,4.1†
"    Dislikes service/professional, embarrassed, afraid",6.2‡ ,25,6.9‡ ,25.4†,19.5†,26.3,0,6.2‡ ,12.6
    Felt it would be inadequate,12.4†,17.5†,16.8‡ ,5.1‡ ,14.6†,21.1†,11.1‡ ,25.0‡ ,13.6
    Does not trust the counsellor,1.7‡ ,10.0†,5.0‡ ,10.2‡ ,9.8†,5.3‡ ,11.1‡ ,6.2‡ ,6.7†
 Sub-total,27,35,23.8†,39.0†,39,36.8,22.2‡ ,50.0†,32.3
Personal reasons,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",34.3,25.0†,43.6†,27.1†,29.3†,31.6‡ ,33.3†,37.5,35.1
    Decided not to seek care,29.8,20,22.8†,22.0†,36.6†,26.3,11.1‡ ,25.0†,27.5
Sub-total,57.9,45,61.4,45.8,61,47.4†,44.4,50,55.6
Other,4.5‡ ,12.5‡ ,16.8†,16.9†,14.6‡ ,26.3†,22.2†,6.2‡ ,13
Total who needed to see a counsellor in the last 12 months but didn't(d)(e),17777,3958,10090,5880,4137,1857,891†,1628,46182
Whether needed to go to a health provider in last 12 months but didn't(f),,,,,,,,,
Yes,30.1,37,28.7,29.6,37.4,36.9,41.6,19.7,29.9
No,70.5,62.8,71,70.2,62.3,62.8,58.4,80.5,70.1
Total persons,271929,60224,228907,99793,42994,29756,7720,72719,814013
Reason(s) did not go(b),,,,,,,,,
Cost,34,38.1,29,42.7,36.6,44.5,37.5,15.4,33.6
Logistical reasons,,,,,,,,,
    Waiting time too long or not available at time required,19.7,22.9,19.5,18,15.5,26.4,34.4,28.7,20.6
    Transport/distance,9.8,13.5†,11,22.7,13.7,10.9,9.4†,16.8,12.8
    [service] Not available in area,4.0†,5.4†,9.8,8.5†,3.7†,3.6†,0,21.7,7.4
Sub-total,27,36.3,32.2,38.6,27.3,32.7,40.6,50.3,32.6
Cultural appropriateness of service,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,2.1†,2.7†,2.3†,4.7†,4.3‡ ,2.7‡ ,6.2‡ ,1.4‡ ,2.6
"    Dislikes service/professional, embarrassed, afraid",27.4,22.4,20.7,21,24.2,31.8,25.0†,9.1,23
    Felt it would be inadequate,7.1†,14.3,7.0†,8.8†,12.4†,11.8,25.0†,4.9†,8.8
    Does not trust service/provider,7.8†,8.1,4.9†,9.5†,9.3†,10.9,9.4†,6.3†,7.4
Sub-total,33,36.3,28.5,31.5,37.3,42.7,50.0†,18.2,32
Personal reasons,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",36.6,35.4,37.5,28.1,33.5,38.2,56.2,30.8,35.6
    Decided not to seek care,30.8,30.9,27,24.4,32.9,29.1,34.4,17.5,28.1
Sub-total,57.9,58.3,55.8,45.8,57.8,56.4,68.8,44.1,55.1
Other,15.2,13.5,13,9.2,19.9,14.5,15.6†,8.4,13.5
Total who needed to see a health provider in last 12 months but didn’t,81842,22279,65617,29480,16079,10963,3200,14258,243663
Whether ever accessed/used health services for mental health condition(d),,,,,,,,,
Yes,39.8,50.3,33,31,39.4,43.3,60.4,16.9,35.7
No,60,50.8,66.7,68.7,61.4,56.1,37.5,83.7,64.4
Total persons(e),161818,35373,131099,58359,25126,18000,4764,46149,480726
Whether been to counselling service for own health in last 12 months(d),,,,,,,,,
Yes,20.5,28,16.5,17.3,20.3,21.7,31.2,11.9,18.8
No,79.7,72.3,83.1,82.9,79.7,77.8,66.7,88.5,81.2
Total persons(e),161818,35373,131099,58359,25126,18000,4764,46149,480726
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,
(a) Persons aged 2 and over.,,,,,,,,,
"(b) More than 1 response allowed, sum of components may exceed total.",,,,,,,,,
"(c) Other health professionals include: nurse, sister, and Aboriginal (and Torres Strait Islander) Health Worker.",,,,,,,,,
"(d) Persons aged 18 and over, present at interview and responding for self.",,,,,,,,,
(e) Excludes 'not asked'.,,,,,,,,,
"(f) Includes persons who reported they needed to go to a dentist (persons aged 2 and over), doctor, other health professional, hospital or counsellor (persons aged 18 and over) in the last 12 months, but did not go. ",,,,,,,,,
Notes,,,,,,,,,
1.  Percentages calculated within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data and discrepancies may occur between sums of the component items and totals. ,,,,,,,,,
2. Data excludes 'not stated' responses.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
