"Table D3.08.17: Experiences of discrimination by sex and age group, Indigenous Australians aged 15 and over, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Avoided situations due to past unfair treatment,10.9,11.9,15.3,15.2,12.5,12.9,,12,17.2,13.2,15.8,16.4,15,,11.9,14.8,14.5,15.5,14.4,14
Did not avoid situations due to past unfair treatment,90.3,88.8,85,84.5,86.6,87.1,,87.7,82,86.4,83.9,83.6,84.9,,88.2,85.7,86.1,84.7,85.5,86
Total(c),100,100,100,100,100,100,,100,100,100,100,100,100,,100,100,100,100,100,100
Types of situations avoided due to past unfair treatment,,,,,,,,,,,,,,,,,,,,
"Applying for work, or going to a job",3.2†,5.5,7.8†,4.8†,2.3‡ ,4.4,,3.2†,3.8,1.8†,6.0†,4.4†,3.8,,3.0†,4.6,5.1†,5.8,3.4†,4.2
"School, university, training course or other educational setting",1.3‡ ,1.9‡ ,0.8‡ ,0.3‡ ,3.0†,1.3†,,2.6†,0.7‡ ,0.5‡ ,0.2‡ ,0.8‡ ,1.1,,1.9†,1.5†,0.7†,0.4†,1.1‡ ,1.2
"Doing any sporting, recreational or leisure activities",0.3‡ ,2.3†,1.3‡ ,1.1‡ ,3.2‡ ,1.4†,,0.5‡ ,0.7†,0.9†,0.5‡ ,0.6‡ ,0.8,,0.7†,1.3†,1.3†,0.7†,1.6‡ ,1.1†
"The police, security people, lawyers or in a court of law",1.7†,3.9†,4.4†,5.1†,3.0†,3.5,,1.6†,1.7†,2.7†,2.5†,3.7†,2.6,,1.7†,2.9,3.6,4.1†,3.2†,3.1
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",0,1.8‡ ,2.6†,1.3†,1.1‡ ,1.2†,,1.1†,2.8†,1.4‡ ,2.8†,3.7†,2.1,,0.6†,2.5†,2.1†,2.1†,2.3†,1.8
When accessing government services,0.8†,3.9†,1,1.9†,2.5†,2.1,,3.4†,2.5†,2.7†,3.7†,2.3†,2.8,,1.6†,3.8,1.8†,3.1,2.0†,2.5
Seeking any other services,0.3‡ ,3.5†,2.8‡ ,1.9‡ ,0,1.5†,,0.3‡ ,0.5†,1.6†,3.2†,2.7†,1.4,,0.3‡ ,1.6†,2.3†,2.8†,1.1†,1.5
Members of the public,5.0†,2.8†,2.6‡ ,5.1†,2.5†,3.3,,3.7†,4.1†,4.5,5.5†,6.7†,4.6,,4.0†,3.7,3.8,4.9†,4.2†,4.1
Other situations,2.2‡ ,1.4‡ ,1.0‡ ,2.9†,1.4‡ ,1.9,,2.8‡ ,5.6†,2.5†,1.1†,2.3†,3.3,,2.6†,3.9†,2.3,1.9†,1.8†,2.6
Didn't avoid any situation,90.3,88.8,85,84.5,86.6,87.1,,87.7,82,86.4,83.9,83.6,84.9,,88.2,85.7,86.1,84.7,85.5,86
Total population aged 15 and over(c)(d),100,100,100,100,100,100,,100,100,100,100,100,100,,100,100,100,100,100,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,,,,,,
(a) Person present at interview and responding for self. Excludes 'does not know if had unfair treatment'.,,,,,,,,,,,,,,,,,,,,
(b) Sum of components may be more than total as people may have reported more than 1 type of experience of unfair treatment.,,,,,,,,,,,,,,,,,,,,
(c) Person present at interview and responding for self.,,,,,,,,,,,,,,,,,,,,
(d) Sum of components may be more than total as people may have reported more than 1 type of situation avoided.,,,,,,,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,,,
