"Table D1.18.17 SA: Hospitalisations of Indigenous Australians for mental health-related conditions (based on principal diagnosis), by type of condition and sex, South Australia and Australia, July 2017 to June 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
(e) Rate difference is the age-standardised rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,,,,,,
"(f) Other includes ICD-10-AM codes relating to mental health: G30, G47.0, G47.1, G47.2, G47.8, G47.9, O99.3, R44, R45.0, R45.1, R45.4, R48, Z00.4, Z03.2, Z04.6, Z09.3, Z13.3, Z50.2, Z50.3, Z54.3, Z61.9, Z63.1, Z63.8, Z63.9, Z65.8, Z65.9, Z71.4, Z71.5, Z76.0.",,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
1. Data are from public and private hospitals in all jurisdictions.,,,,,,,,,,,,,,,,,,,,
2. Rates are calculated using ABS population projections (series B) based on the 2016 Census.,,,,,,,,,,,,,,,,,,,,
3. Data are reported by jurisdiction of usual residence of the patient hospitalised.,,,,,,,,,,,,,,,,,,,,
4. Categories are based on the ICD-10-AM 10th edition (Australian Consortium for Classification Development 2017). Information about the definitions can be found at https://www.aihw.gov.au/reports/mental-health-services/mental-health-services-in-australia/classifications-and-technical-notes.,,,,,,,,,,,,,,,,,,,,
"5. Data exclude hospitalisations for Newborns without qualified days, Hospital boarders and Posthumous organ procurement.",,,,,,,,,,,,,,,,,,,,
"6. Data exclude hospitalisations in WA with a contracted patient status of 'Inter-hospital contracted patient to private sector hospital', to adjust for hospitalisations recorded on both sides of contractual care arrangements.",,,,,,,,,,,,,,,,,,,,
Source: AIHW analysis of National Hospital Morbidity Database.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,,,
