"Table D2.05.4: Proportion of students in years 7 to 12, by Indigenous status, sex and state/territory, 2021(a)(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Indigenous Australians,6.8,1.8,8.6,6.7,5.1,10.1,3.5,40.9,6.2
Other Australians(d),93.2,98.2,91.4,93.3,94.9,89.9,96.5,59.1,93.8
Year 10  ,,,,,,,,,
Indigenous Australians,6.6,1.7,8,6.5,5,10.1,3.2,38.1,5.9
Other Australians(d),93.4,98.3,92,93.5,95,89.9,96.8,61.9,94.1
Year 11   ,,,,,,,,,
Indigenous Australians,5.2,1.5,7.3,5.6,4.6,8.9,3.3,35.2,5
Other Australians(d),94.8,98.5,92.7,94.4,95.4,91.1,96.7,64.8,95
Year 12,,,,,,,,,
Indigenous Australians,3.8,1.3,6.1,4.3,3.7,7.1,2.8,25.9,3.9
Other Australians(d),96.2,98.7,93.9,95.7,96.3,92.9,97.2,74.1,96.1
Total ,,,,,,,,,
Indigenous Australians,6.2,1.7,8.1,6.4,4.9,9.8,3.1,37.9,5.7
Other Australians(d),93.8,98.3,91.9,93.6,95.1,90.2,96.9,62.1,94.3
(a) The denominator is the total for the respective sex and grade for each state e.g year 7 males in NSW (i.e. the proportion of Indigenous or Other students to total students for the respective sex and grade for each state).,,,,,,,,,
(b) Includes full-time students only. Excludes years 1–6 and foundation year.,,,,,,,,,
"(c) Year 7 represents the first year of secondary school in all states except SA, in which most schools begin secondary school in year 8.",,,,,,,,,
(d) The category 'Other Australians' includes students whose Indigenous status was reported as 'not stated' or 'non-Indigenous'.,,,,,,,,,
Notes,,,,,,,,,
1. Since 2020 support students in NSW Government mainstream schools were recorded against their grade of enrolment. Care should be taken when comparing with previous years as enrolments will be higher due to the revised methodology.,,,,,,,,,
"2. In 2019, year 7 became the first year of secondary schooling in a number of non-government schools across SA. In 2020 year 7 became the first year of schooling in 3 Government schools across SA. This table presents the sum of year 7 primary and year 7 secondary and therefore is not comparable to previous iterations.",,,,,,,,,
"Source: AIHW analysis of National Schools Statistics Collection, from: ABS 2021. Schools, table 42b, viewed on 7 March 2022, <https://www.abs.gov.au/statistics/people/education/schools/latest-release>.",,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
