"Table D3.08.9: Patient experience in last 12 months, Indigenous persons (15 and over) by selected socioeconomic characteristics (non-remote), 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Ratio yes/no,0.9*,1.7*,0.9*,1.9*,0.9*,2.3*,0.9*,1.7*,0.9*,1.8*,,1,0.6,,0.6
SEIFA(f),,,,,,,,,,,,,,,
1st quintile (most disadvantaged),87.8,12.5,86.1,13.8,89.3,10.9,86.4,13.4,89.9,10.1,,100,"168,946",,49.3
5th quintile (most advantaged),95.3,2.1‡ ,93.3,3.1†,93.3,1.6‡ ,93.8,5.7†,91.7,5.2‡ ,,100,"19,281",,5.3
Ratio most disadvantaged/ most advantaged,0.9,6,0.9,4.5,1,6.8,0.9,2.4,1,1.9,,1,8.8,,9.3
Employment,,,,,,,,,,,,,,,
Employed,91,9.1,90.5,9.6,93.4,6.6,89,10.9,93.1,7.2,,100,"167,495",,48.3
Unemployed,81.3,19.3,81,18.2†,84.2,15.6†,79.7,20.3,86.8,11.9†,,100,"37,947",,10.8
Not in the labour force,87.9,12,86.6,13.6,90.1,10.2,88.2,12,89.5,10.6,,1,"138,566.0",,41.1
Ratio unemployed/employed,0.9*,2.1*,0.9*,1.9,0.9*,2.4*,0.9*,1.9*,0.9*,1.7,,1,0.2,,0.2
Has non-school qualification(g),,,,,,,,,,,,,,,
Yes,89.3,10.4,88.1,11.8,91.9,8.2,87.9,12.3,91.2,8.8,,100,"194,430",,51.8
No,87.8,12.2,87.5,12.5,90.1,10,87.3,12.7,90.5,9.6,,100,"149,437",,48.2
Ratio no/yes,1,1.2,1,1.1,1,1.2,1,1,1,1.1,,1,0.8,,0.9
Highest year of school completed,,,,,,,,,,,,,,,
Year 12,90.6,9.5,90.5,10.4,93.9,6.4,88.1,12.1,93,7,,100,"118,549",,33
Year 9 or below(h),84.5,15.6,82.3,17.1,86.8,13.3,85.3,14.6,85.4,14.4,,100,"73,521",,22.9
Ratio Year 9 or below/Year 12,0.9*,1.6,0.9*,1.6,0.9*,2.1*,1,1.2,0.9*,2.1*,,1,0.6,,0.7
Housing tenure type,,,,,,,,,,,,,,,
Owner(i),93.8,6.1,92.4,7.5,95.3,4.8,90.6,9.4,93.8,6.1,,100,"125,917",,36.7
Renter,86,14.1,85,15.2,88.6,11.6,85.9,14.1,89.5,10.6,,100,"212,627",,61.6
Ratio renter/owner,0.9*,2.3*,0.9*,2.0*,0.9*,2.4*,0.9*,1.5*,1,1.7,,1,1.7,,1.7
Total number(j)(k),"305,241","39,162","302,246","41,696","312,689","30,848","300,759","43,126","312,903","31,403",,. .,"343,727",,"433,596"
Has private health insurance,,,,,,,,,,,,,,,
Yes,91,9.2,91.2,8.4†,93.8,5.3†,90.2,9.5,94.7,4.3†,,100,"71,543",,20.6
No,87.8,12.1,86.8,13,90,10,86.8,13.3,89.7,10.4,,100,"271,391",,79
Ratio yes/no,1,0.8,1.1*,0.6*,1,0.5*,1,0.7*,1.1*,0.4*,,1,0.3,,0.3
Total,88.8,11.4,87.9,12.1,91,9,87.5,12.5,91,9.1,,100,. .,,100
Total number of persons 15+,"305,241","39,162","302,246","41,696","312,689","30,848","300,759","43,126","312,903","31,403",,. .,"343,727",,"433,596"
* Represents statistically significant differences in proportions accessing health care at the p < 0.05 level. Comparison between categories used for rate ratio for each characteristic.,,,,,,,,,,,,,,,
† Proportion has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,,,
‡ Proportion has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,
(a) Self-reported data on respondents experience with a doctor in the last 12 months. Persons 15 and over living in Non-remote areas. Categories have been updated in 2018–19 NATSIHS and are not time series comparable. ,,,,,,,,,,,,,,,
(b) Totals exclude a small number of people who were not present at interview and for whom responses were provided by a proxy. ,,,,,,,,,,,,,,,
(c) Proportion across row.,,,,,,,,,,,,,,,
(d) Distribution of total Non-remote Indigenous population.,,,,,,,,,,,,,,,
(e) Excludes 'not stated' and 'not known'.,,,,,,,,,,,,,,,
(f) Index of Relative Socio-Economic Advantage and Disadvantage 2016.,,,,,,,,,,,,,,,
"(g) Non-school qualifications classified to the Australian Standard Classification of Education (ASCED) (includes e.g. bachelor degree or higher, diploma, advanced diploma, certificate).",,,,,,,,,,,,,,,
(h) Year 9 or below includes never attended school.,,,,,,,,,,,,,,,
(i) Including participants of rent/buy (or shared equity) scheme.,,,,,,,,,,,,,,,
(j) Excludes 'not stated'.,,,,,,,,,,,,,,,
"(k) Total includes 'other', 'rent free' and 'life tenure scheme'.",,,,,,,,,,,,,,,
Note: Percentages add within rows. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. ,,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,
