"Table D1.18.26: Intentional self-harm mortality rates, by Indigenous status and jurisdiction, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Qld(d),18.5,20.5,15.8,18.7,17.3,21.3,16.3,29.2,20.8,25.1,22.2,25,27.5,32.9,0.9*,74.4*,1.3*,63.8*
WA,45.5,n.p.,30.2,25.2,34.5,42.9,34.7,35.2,43.8,40.2,43.9,26.1,36,26.6,n.p.,n.p.,-0.8,-19
SA,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
NT,n.p.,35.7,n.p.,n.p.,31.9,31.8,35.2,n.p.,35.6,n.p.,n.p.,31.7,24.7,34.2,n.p.,n.p.,n.p.,n.p.
"NSW, Qld, WA, SA & NT",18.4,17.2,16.8,16.7,19.9,22.6,18.9,22.7,22.4,24.2,23.5,24.1,24.9,27.1,0.7*,57.8*,0.7*,30.3*
,"Non-Indigenous age-standardised rate (per 100,000)(e)",,,,,,,,,,,,,,,,,
NSW,8.4,8.8,8.6,8.5,9,8.3,9.7,9.3,10.8,10.6,9.9,11.2,10.9,10.8,0.2*,35.9*,0.3*,26.8*
Qld(d),11.7,11.8,12.5,11.3,12.5,12.1,13.2,13.6,13.3,15.4,13.5,16,15.1,14.4,0.3*,34.4*,0.3*,23.6*
WA,10.1,11.9,12.2,10.9,11.7,11.1,13.4,12,12,13.9,12.3,14.7,13.2,14.7,0.3*,31.6*,0.3*,24.2*
SA,10.4,12.4,10.3,10.7,11.5,12.3,11.5,11.2,14,13.1,12.9,12.1,12,13.4,0.2*,20.8*,0.1,10.3
NT,n.p.,23.7,n.p.,n.p.,12.7,n.p.,11,n.p.,14.5,20.4,16.3,14.3,15.3,12.8,n.p.,n.p.,n.p.,n.p.
"NSW, Qld, WA, SA & NT",9.8,10.5,10.4,9.9,10.7,10.2,11.4,11.1,12.1,12.8,11.6,13.2,12.6,12.7,0.3*,33.4*,0.3*,23.7*
* Represents results with statistically significant increases or declines at the p < 0.05 level over the selected periods.,,,,,,,,,,,,,,,,,,
"(a) Since 2015, the Queensland Registry of Births, Deaths and Marriages used both medical certificate information and death registration form information to derive Indigenous status. This approach has been used in South Australia, Western Australia, Tasmania, the Northern Territory and the Australian Capital Territory since 2007. If either source indicates that the deceased was an Aboriginal and/or Torres Strait Islander person, they are recorded as such. In New South Wales and Victoria, only information from the death registration form is used (see  the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period: https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release).",,,,,,,,,,,,,,,,,,
(b) Annual change is determined using linear regression analysis.,,,,,,,,,,,,,,,,,,
(c) Per cent change is based on the annual change over the period.,,,,,,,,,,,,,,,,,,
"(d) Data for 2010 have been adjusted for the additional deaths arising from outstanding registrations of deaths in Queensland in 2010. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
"(e) Directly age-standardised using the 2001 Australian standard population, by 5-year age groups up to 75+.",,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"1. Categories are based on the ICD-10 10th Revision (World Health Organization): Intentional self harm ICD-10 codes X60–X84, Y87.0.",,,,,,,,,,,,,,,,,,
"2.  A number of deaths occur each year for which the Indigenous status is not stated on the death registration form—0.8% of all deaths registered in 2019. Thus, there is some degree of under-identification of Indigenous people in mortality data. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019)",,,,,,,,,,,,,,,,,,
"3.  All causes of death data from 2006 onward are subject to a revisions process. Once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2006-2017 (final), 2018 (revised) 2019 (preliminary). For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release) and ABS Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/people/population/deaths-australia/latest-release).",,,,,,,,,,,,,,,,,,
"4. Care needs to be taken in interpreting figures relating to intentional self-harm. For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
5.  Population estimates for non-Indigenous Australians were derived by subtracting Aboriginal and Torres Strait Islander backcast population estimates and projections (series B) based on the 2016 Census from the total Australian Estimated Resident Population.,,,,,,,,,,,,,,,,,,
"6. Data are reported for 5 jurisdictions—New South Wales, Queensland, Western Australia, South Australia and the Northern Territory. These jurisdictions are considered to have adequate levels of Indigenous identification in mortality data. ",,,,,,,,,,,,,,,,,,
7. These data exclude 584 registered deaths where the Indigenous status was not stated over the period 2006–2019.,,,,,,,,,,,,,,,,,,
8. Deaths for which the age at death was not recorded were excluded from the calculation of age-standardised rates.,,,,,,,,,,,,,,,,,,
"9. Coronial cases are more likely to be affected by a lag in registration time, especially those which are due to external causes (injury and poisoning), including intentional self-harm, homicide and drug-related deaths. Due to small numbers these lagged coroner-referred registrations can create large yearly variation in some causes of deaths of Aboriginal and Torres Strait Islander persons. Caution should be taken when making year to year analysis.  ",,,,,,,,,,,,,,,,,,
"10. Data by causes of death have been adjusted for Victorian additional death registrations in 2019. A time series adjustment has been applied to causes of death to enable a more accurate comparison of mortality over time. When the time series adjustment is applied, deaths are presented in the year in which they were registered (i.e. removed from 2019 and added to 2017 or 2018). For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
"11. Deaths are counted according to year of registration of death, and state or territory of usual residence.",,,,,,,,,,,,,,,,,,
Source: AIHW National Mortality Database.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
