"Table D2.05.12: Bullying and unfair treatment at school and impact on school attendence, by sex and remoteness, Aboriginal and Torres Strait Islander children aged 4–14, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Has been treated unfairly (because Aboriginal and / or Torres Strait islander),6756,10.3,6170,9.6,13214,10.2,"1,441†",9.3†,851†,5.5†,"2,289†",7.4†,7977,9.9,6813,8.5,15268,9.5
Has not been treated unfairly (because Aboriginal and / or Torres Strait islander),58934,90.1,57943,89.7,117022,90.1,13828,89.6,14676,95.7,28377,92.1,72588,89.8,72726,91,145488,90.6
Total,65378,100,64579,100,129882,100,15440,100,15333,100,30805,100,80857,100,79899,100,160638,100
Whether treated unfairly at current school because Aboriginal and / or Torres Strait Islander,,,,,,,,,,,,,,,,,,
Treated unfairly at current school,3777,54.8,4371,70.8,8148,64.2,860†,59.7,646†,75.9,1547,67.6,4601,55.3,5163,75.8,9420,61.3
Not treated unfairly at current school (but has been treated unfairly at previous school),"3,069†",44.6†,"2,134†",34.6†,5086,40,"1,180‡",81.9†,51‡,6.0‡,855‡,37.3‡,"3,863†",46.4†,"1,867†",27.4†,"5,484†",35.7
Total,6887,100,6170,100,12700,100,"1,441†",100,851†,100,"2,289†",100,8325,100,6813,100,15379,100
Whether changed school to avoid unfair treatment,,,,,,,,,,,,,,,,,,
Changed school because of unfair treatment,812‡,12‡,831‡,13.4‡,"1,702‡",13.2†,0,0,84‡,9.8‡,101‡,4.4‡,"1,010‡",12.7‡,"1,044†",14.6†,"2,369†",15.4†
Did not change school because unfair treatment,5201,77,5297,85.2,10842,84.2,"1,663†",n.p.,730†,85.8,"2,366†",n.p.,7173,89.9,6280,87.9,13226,86.1
Total,6756,100,6217,100,12880,100,"1,441†",100,851†,100,"2,289†",100,7977,100,7144,100,15357,100
Whether progress at school affected by unfair treatment,,,,,,,,,,,,,,,,,,
Progress at school affected by unfair treatment,"2,106†",33,"1,735†",31.5,4116,35.9,369†,23.5†,263‡,41.7‡,538†,23†,2680,34,"1,917†",32.1,4678,34.2
Progress at school not affected by unfair treatment,"3,645†",57.1,"3,230†",58.7,7081,61.8,"1,110‡",70.6†,430†,68.1,"1,454†",62.2†,5231,66.4,4103,68.7,8737,63.8
Total,6388,100,5505,100,11455,100,"1,572†",100,632†,100,"2,339†",100,7878,100,5970,100,13692,100
Total children aged 4–14 years,70993.8,100,68552.5,100,139100.6,100,17272.4,100,16664.4,100,33937,100,88223.7,100,84860.3,100,173142.4,100
† Numbers and percents have a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,,,,,,
‡ Numbers and percents have a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,,,,
"Note: Excludes not stated, not known and not applicable such as does not usually attend school or is home schooled",,,,,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
