"Table D1.13.8: Variables related to community functioning theme ‘Vitality’ for Indigenous Australians(a), Australia 2002, 2008 and 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Other sources,6.9,11.4,,n.a.,2,3
,Total in labour force,202.5,257.4,,60,62,58.1
Total persons aged 15 and over,,327,443.4,,n.a.,100,100
† Percent has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,
‡ Percent has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,
(a) Aged 15 and over unless otherwise stated.,,,,,,,
(b) Some cells in this table have been randomly adjusted to avoid the release of confidential data. ,,,,,,,
(c) Has not consumed alcohol in last 12 months at risky/high-risk levels only available for comparison against 2001 guidelines.  ,,,,,,,
"(d) Includes persons whose main source of cash income was not stated or not known, and those who had no source of income.",,,,,,,
"Sources: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2002, 2008 and 2014–15.",,,,,,,
,,,,,,,
Link to Contents,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, ,,,,
