"Table D1.13.12: Select variables contributing to community functioning for Indigenous Australians aged 15 and over(a), by state/territory, Australia 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Was taught Indigenous culture at school or as part of further studies,66.7,48.2,13.6,42.2,56.6,46,24.9,43.9,13.4,54,9.2,54.8,2.3,52.3,22.4,48.3,208.4,47
Learnt about own Indigenous clan/language,18.9,13.6,3.8,11.8,19.3,15.7,10.5,18.6,4.6,18.5,1.2,6.9,0,14,14.2,30.7,73.4,16.5
Vitality,,,,,,,,,,,,,,,,,,
Self-assessed health status excellent or very good,53.8,38.8,13,40.2,47.6,38.7,23.3,40.9,10,40.3,6.2,37.3,1.8,40.3,19.7,42.5,176,39.7
Has no disability or long-term health condition,72.2,52.1,16.7,51.7,71.5,58.1,32.3,56.9,13.3,53.6,7.6,45.5,2.4,53.3,27.9,60.1,243.8,55
Low/moderate level of psychological distress (5–11 K5 score) ,94.2,68.6,20.1,62.2,83.3,67.9,34.5,61.7,16,65.8,12.2,73.5,3,68.2,30.7,67.5,294.3,67
Living in a dwelling that has no major structural problems,97.8,71.5,22.5,71.8,93.8,76.9,41.8,74.4,17.6,72.7,12.3,74.3,3.5,76.3,29.1,69.7,317.7,73.4
Accessed Internet in last 12 months,115.5,83.3,29.4,91.2,100.3,81.5,41.6,73.3,19.3,77.9,14.7,87.7,4.1,92.2,23.7,51.1,348.4,78.6
Has access to motor vehicles whenever needed,101.7,73.4,23,71.3,86.2,70.1,34.9,61.5,16.3,65.9,12,72,3.5,77.2,25,53.9,302.7,68.3
Can easily get to places needed,112.1,80.9,24.7,76.4,94.2,76.6,39.9,70.2,18.9,76.2,13.2,78.8,3.6,79.6,27.7,59.8,334,75.3
Total persons aged 15 and over,138.5,100,32.3,100,123.1,100,56.8,100,24.8,100,16.7,100,4.5,100,46.4,100,443.4,100
"(a) Unless otherwise indicated, proportions are of the estimated total Aboriginal and Torres Strait Islander population aged 15 and over. Where another population is indicated, this has been used to calculate proportions.",,,,,,,,,,,,,,,,,,
(b) Cells in this table have been randomly adjusted to avoid the release of confidential data.  Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,,,,,
(c) Proportions calculated in relation to number of Aboriginal and Torres Strait Islander Australians aged 15 and over who are employed.,,,,,,,,,,,,,,,,,,
"(d) Selected strategies include short term loans, pawned or sold something, did not have meals, sought assistance from welfare/community organisations or family or friends, ran up a tab at local store, and  gave someone else access to keycard.",,,,,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
