"Table D1.18.25: Intentional self-harm mortality rates, by Indigenous status and age, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0–14,n.p.,n.p.,n.p.,0.0,n.p.,0.4,0.2,0.4,0.3,0.2,0.3,0.6,0.5,0.3,n.p.,n.p.,n.p.,n.p.
15–19,7,7.2,6.3,6.2,6,6.7,7.6,9.4,7.8,9,8.1,9.2,11.8,9.9,0.3*,71.5*,0.5*,64.1*
20–24,12,11,10.5,8.9,10.3,11.3,11.5,12,13.6,14.4,13.9,14.8,13.7,15.4,0.4*,50.8*,0.5*,43.5*
25–29,9.9,14.4,11.6,12.9,11.8,12.5,12.0,12,11.5,14.9,13.1,16.1,14.5,16.1,0.3*,34.9*,0.5*,38.7*
30–34,12.4,15.9,15.1,14.0,13.2,13.7,15.3,13.1,16.7,16,17.3,16.1,14.8,15.4,0.2,16.5,0.3,16.9
35–39,14.2,16.4,16.5,14.6,17.8,13.8,17.1,15.9,17.3,18.5,17.3,16.9,16.6,18.4,0.2*,17.3*,0.2,9.9
40–44,14.5,15.6,17.5,15.5,17.5,17.1,17.3,17.7,19.7,18.6,17.7,21.3,18,18.8,0.3*,26.8*,0.2,11.6
45–49,15.2,14,15.9,14.7,16,16.3,17.8,17.5,17.3,21.2,16.2,22.8,20,19.6,0.5*,45.0*,0.5*,28.1*
50+,12.3,12.4,12.3,12.3,13.4,11.9,14.3,13.5,15.1,15.5,13.7,15.6,15.6,14.9,0.3*,30.6*,0.3*,19.6*
Total (crude rate),10,10.7,10.5,10.1,10.9,10.4,11.6,11.3,12.3,13,11.8,13.4,12.8,12.9,0.3*,33.1*,0.3*,23.3*
Total (age-standardised rate)(e),9.8,10.5,10.4,9.9,10.7,10.2,11.4,11.1,12.1,12.8,11.6,13.2,12.6,12.7,0.3*,33.4*,0.3*,23.7*
* Represents results with statistically significant increases or declines at the p < 0.05 level over the selected periods.,,,,,,,,,,,,,,,,,,
"(a) Data for 2010 have been adjusted for the additional deaths arising from outstanding registrations of deaths in Queensland in 2010. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
"(b)  Since 2015, the Queensland Registry of Births, Deaths and Marriages used both medical certificate information and death registration form information to derive Indigenous status. This approach has been used in South Australia, Western Australia, Tasmania, the Northern Territory and the Australian Capital Territory since 2007. If either source indicates that the deceased was an Aboriginal and/or Torres Strait Islander person, they are recorded as such. In New South Wales and Victoria, only information from the death registration form is used (see  the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period: https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release)",,,,,,,,,,,,,,,,,,
(c) Annual change is determined using linear regression analysis.,,,,,,,,,,,,,,,,,,
(d) Per cent change is based on the annual change over the period.,,,,,,,,,,,,,,,,,,
"(e) Directly age-standardised using the 2001 Australian standard population, by 5-year age groups up to 75+.",,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"1. Categories are based on the ICD-10 10th Revision (World Health Organization): Intentional self harm ICD-10 codes X60–X84, Y87.0.",,,,,,,,,,,,,,,,,,
"2.  A number of deaths occur each year for which the Indigenous status is not stated on the death registration form—0.8% of all deaths registered in 2019. Thus, there is some degree of under-identification of Indigenous people in mortality data. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019)",,,,,,,,,,,,,,,,,,
"3.  All causes of death data from 2006 onward are subject to a revisions process. Once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2006-2017 (final), 2018 (revised) 2019 (preliminary). For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release) and ABS Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/people/population/deaths-australia/latest-release).",,,,,,,,,,,,,,,,,,
"4. Care needs to be taken in interpreting figures relating to intentional self-harm. For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
5.  Population estimates for non-Indigenous Australians were derived by subtracting Aboriginal and Torres Strait Islander backcast population estimates and projections (series B) based on the 2016 Census from the total Australian Estimated Resident Population.,,,,,,,,,,,,,,,,,,
"6. Data are reported for 5 jurisdictions combined—New South Wales, Queensland, Western Australia, South Australia and the Northern Territory. These jurisdictions are considered to have adequate levels of Indigenous identification in mortality data. ",,,,,,,,,,,,,,,,,,
7. These data exclude 584 registered deaths where the Indigenous status was not stated over the period 2006–2019.,,,,,,,,,,,,,,,,,,
8. Deaths for which the age at death was not recorded were excluded from the calculation of age-standardised rates.,,,,,,,,,,,,,,,,,,
"9. Coronial cases are more likely to be affected by a lag in registration time, especially those which are due to external causes (injury and poisoning), including intentional self-harm, homicide and drug-related deaths. Due to small numbers these lagged coroner-referred registrations can create large yearly variation in some causes of deaths of Aboriginal and Torres Strait Islander persons. Caution should be taken when making year to year analysis.  ",,,,,,,,,,,,,,,,,,
"10. Data by causes of death have been adjusted for Victorian additional death registrations in 2019. A time series adjustment has been applied to causes of death to enable a more accurate comparison of mortality over time. When the time series adjustment is applied, deaths are presented in the year in which they were registered (i.e. removed from 2019 and added to 2017 or 2018). For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019)",,,,,,,,,,,,,,,,,,
"11. Deaths are counted according to year of registration of death, and state or territory of usual residence.",,,,,,,,,,,,,,,,,,
Source: AIHW National Mortality Database.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
