"Table D3.08.18: Experiences of discrimination by remoteness, Indigenous Australians aged 15 and over, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",1.1†,2.4†,2.4,1.9,,1.8†,1.3,1.5,,1.8
When accessing government services,3.3,2.6,2.1†,2.8,,1.2‡,1.0‡,1.1†,,2.5
Seeking any other services,1.5†,1.8†,1.4†,1.6,,0.9‡,1.6†,1.4†,,1.5
Members of the public,3.5,3.6†,6.6,4.3,,3.0†,2.5†,2.8,,4.1
Other situations,2.5†,2.4†,4.1†,2.8,,1.8†,2.1,1.8,,2.6
Didn't avoid any situation,86.5,86.3,83.3,85.4,,88.6,88,87.9,,86
Total(b)(c),100,100,100,100,,100,100,100,,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,
(a) Person present at interview and responding for self. Excludes 'does not know if had unfair treatment'.,,,,,,,,,,
(b) Person present at interview and responding for self.,,,,,,,,,,
(c) Sum of components may be more than total as people may have reported more than 1 type of situation avoided.,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,
,,,,,,,,,,
Link to Contents,,,,,,,,,,
