            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Wanted to study for an educational qualification,0.5,1.7,1.2,0.8,0.3,4.5,,1.1,2,1.5,1,0.7,6.3,,36.8,18.3,17.2,28.4,np,11.4,,29,16.2,16.6,30.1,28.2,11.6
Did not want to study for an educational qualification,2.3,4.6,4.2,3.4,4.3,18.7,,2.8,4.7,4.1,4.3,5.2,21.3,,18,10.4,10.9,12.4,12,6.3,,12.5,7.5,8.5,7.2,4.6,3.7
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,1.2,2.9,2.6,1.2,0.3,8.2,,2.1,4,2.7,1.8,0.6,11.1,,20.9,16.6,12.5,26.1,38,10.1,,15.4,8.7,10.1,18.8,26.4,6
Does not intent to study in the future,1.1,2.2,2,2.6,4,12,,1,1.6,2,3,4.9,12.5,,26.8,14.2,17,12.6,12.3,7.2,,32.3,19.2,17,11.7,4.8,5.8
Total(a) ,2.8,6.3,5.4,4.2,4.5,23.2,,3.7,6.8,5.8,5.5,5.9,27.6,,15.8,8.9,10.1,10.5,11.8,5.3,,5.6,3,3.9,2.9,1.7,1.5
Very remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,1.6,2.4,1.6,1.1,0.4,7,,1.9,2.5,1.5,1.3,0.2,7.3,,19,13.7,16.9,22.4,44.3,10.2,,22.7,18.7,19,25.4,47.3,11.9
Did not want to study for an educational qualification,5.8,10.1,7.4,5.5,6.3,35.1,,6.3,11.8,8.7,7.5,9.5,43.4,,8.3,5.7,7.5,9.1,9.5,3.7,,7.3,5.2,3.3,4.9,1.6,2.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,3.2,5.7,3,1.5,0.6,14,,4.9,6.7,3.9,1.8,0.6,17.6,,13.9,9.6,15.2,19.1,28.6,7.8,,8.9,10.9,12.5,19.6,25.4,6.7
Does not intent to study in the future,3.4,5.8,5.1,4.5,5.9,24.6,,1.9,5.4,5,6.1,8.6,26.7,,13.6,10.5,11.9,10.5,10.2,6.2,,21.3,12,10.2,7.3,3.3,4.2
Total(a) ,7.4,12.5,9,6.6,6.7,42.1,,8,14.1,10.1,8.8,9.6,50.7,,7.2,4.7,6.6,8.7,9.7,3.1,,4.1,2.2,1.5,1.8,1,1
Total remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,2.1,4,2.8,1.9,0.7,11.5,,2.8,4.4,3.1,2.2,0.9,13.6,,16.7,10.5,11.4,17.1,33,7.1,,19.6,12.1,12.4,20.1,23.7,8.3
Did not want to study for an educational qualification,8.1,14.7,11.6,8.9,10.5,53.8,,9,16.4,12.8,11.9,14.6,64.7,,6.9,4.9,5.5,6.6,6.6,2.4,,6.5,4.1,3.5,3.9,1.9,1.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,4.4,8.6,5.6,2.6,0.9,22.1,,6.7,10.7,6.7,3.6,1.3,28.9,,11.2,8.4,9.4,14.8,22,5.8,,7.8,7.8,7.8,14.3,17.9,5.1
Does not intent to study in the future,4.5,8,7.1,7.1,9.9,36.6,,3.1,6.9,7.1,9,13.2,39.4,,11.3,8.5,9.5,7.6,6.9,4.2,,15.7,10,7.9,6.2,2.8,3.3
Total(a) ,10.2,18.7,14.4,10.8,11.2,65.3,,11.9,20.9,15.7,14.1,15.5,78.3,,5.9,3.9,4.8,5.8,6.2,1.7,,3.1,1.8,1.7,1.3,0.8,0.8
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,11.3,21.1,19.1,9,4.3,64.9,,17.1,25,21,11.7,6.9,82,,8.4,5.4,5.8,8.8,14.7,3.6,,9.7,7.1,6.7,9.1,12.9,4.2
Did not want to study for an educational qualification,26.1,40.9,38.8,33.4,36.9,176.1,,32.2,54.1,46.3,47.6,59.6,239.5,,4.8,3.3,3,2.8,1.8,1.6,,5.2,3.9,3.5,2.7,1.7,1.6
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,19.8,31.5,25.4,12.1,4.1,92.8,,31.7,47.3,32.7,18.3,7.8,137.1,,6.3,4.1,5,7.9,13.8,3,,6.5,4.4,5,8.5,11.5,3
Does not intent to study in the future,10.7,19.7,23.1,25.1,34.1,112.7,,7.8,16.2,21.4,30.5,53.2,129.4,,7.5,6.1,5.8,4.2,2.4,2.5,,14.5,8.3,7.7,4.8,1.9,2.6
Total(a) ,37.4,62.1,57.9,42.4,41.2,241,,49.1,79.2,67.5,59.2,66.6,321.2,,2.9,1.4,1.1,1.5,0.7,0.7,,3.6,1.9,1.5,1.5,0.7,0.8
,PROPORTION OF PERSON (%),,,,,,,,,,,,,,95% MARGIN OF ERROR OF PROPORTION (%),,,,,,,,,,,,
Major cities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,46.7,43.6,39.9,21.4,17.6,35.3,,33.9,36,38.4,25.8,15.4,30.5,,10,7.4,8.1,7.1,8.3,3.9,,12,8.4,7.5,6.7,6.5,4
Did not want to study for an educational qualification,53.3,56.4,60.1,78.6,82.4,64.7,,66.7,62.5,60.3,73.7,84.6,69.4,,10,7.4,8.1,7.1,8.3,3.9,,8.4,8,7.8,7.1,6.5,3.5
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,68.4,58,52.7,32.5,10.6,46.7,,60.6,63.3,52.7,38.1,15.4,47.1,,9.4,6.6,7.8,8.6,6,3.5,,15.6,8.1,7.3,8.2,6.7,4.4
Does not intent to study in the future,18.6,22.5,29.1,57.5,75.2,37.5,,17.6,15.6,30,43.8,74.5,35.1,,6.8,6.1,7.6,8.7,9.7,3.5,,10.2,5.4,7.7,8.2,6.6,3.2
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Inner regional,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,18.7,31.9,36,20.4,15.3,25.6,,38.4,40.6,23.2,16.7,8.3,24.5,,8.4,9.9,8.6,9.6,8.1,4.2,,14.1,9.8,9.6,7.8,5.2,4.1
Did not want to study for an educational qualification,81.3,68.1,64,79.6,84.7,74.4,,64.6,63.2,73.9,84.2,93.1,75.3,,8.4,9.9,8.6,9.6,8.1,4.2,,9.7,9.9,11,6.1,5.5,4.1
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#50.2,#44.4,43.3,#24.4,14.1,36.9,,73.7,69.7,47.2,25.8,13.1,43.5,,14.9,10.8,9.9,10.7,8,5.7,,12.9,8.6,11.7,8.7,6.1,4.5
Does not intent to study in the future,24,#32.5,#37.5,#61.1,77.8,44.3,,9.1,11.6,27.5,55,77.9,37,,9.7,11,10.2,12.6,8.6,5.7,,7.4,6,12.3,10.6,7.2,4
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Outer regional,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#34.9,39,35.4,26.1,5.1,27.8,,44.7,29.6,40.8,16.2,9,26.9,,12.7,9.6,7.2,8.1,3.2,4.7,,15.1,8.9,11.1,8.5,5.4,4.7
Did not want to study for an educational qualification,#65.1,61,64.6,73.9,94.9,72.2,,57.3,69.1,59.9,80.1,90.4,72.8,,12.7,9.6,7.2,8.1,3.2,4.7,,13.6,10.6,11.3,8.9,5.3,4.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#48.9,51.4,36.2,30.9,8.9,34.4,,73.8,54.6,48.6,32.4,10.3,42.1,,13.4,9.6,7.9,8.9,4.5,5,,12,9.4,11.6,16.1,5.5,5
Does not intent to study in the future,#26.4,29.8,#48.2,#52.6,87.7,50.5,,10.7,21.1,28.2,47.1,85.9,41.1,,12.1,8.4,10.3,11.3,6,5.6,,9.6,9.1,11,11,5.6,4.5
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Total non-remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,33.8,39.4,37.5,22.6,12,30.4,,36.7,35.7,35.1,20.6,11.8,28.1,,6.1,4.8,4.8,4.5,3.8,2.5,,7.1,5.3,5,4.3,3.4,2.5
Did not want to study for an educational qualification,66.2,60.6,62.5,77.4,88,69.6,,60.6,64.2,64.7,78.9,88.8,72,,6.1,4.8,4.8,4.5,3.8,2.5,,6.3,5.8,5.1,4.3,3.5,2.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,56.6,52.8,45.4,29.9,10.8,40.3,,65.1,63,50.3,32.6,12.6,44.7,,7.2,4.8,5,5.4,3.5,2.6,,8,5.2,5.5,6.5,3.5,2.8
Does not intent to study in the future,22.7,27,36.9,56.9,80.8,43.4,,13.7,16,27.7,47.2,78.9,37,,5.1,4.5,5.2,5.9,4.8,2.6,,5.3,3.9,5.8,5.7,3.7,2.2
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#18.5,26.7,22.4,#19.5,6,19.4,,29.7,29.4,25.9,18.2,11.9,22.8,,12.7,8.2,6.1,10.3,6.6,4.2,,16.6,9.2,8.2,10.7,6.6,5.1
Did not want to study for an educational qualification,#81.5,73.3,77.6,#80.5,94,80.6,,75.7,69.1,70.7,78.2,88.1,77.2,,12.7,8.2,6.1,10.3,6.6,4.2,,16.6,9.3,10.5,10.1,7.4,5.1
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#41.6,#46.8,48.1,#27.6,6.4,35.1,,56.8,58.8,46.6,32.7,10.2,40.2,,14.5,10.9,9.1,12.3,4.7,5.9,,15.9,9.5,8.5,11.9,5.3,4.6
Does not intent to study in the future,#39.5,35.2,#37.4,#62.3,88.7,51.5,,27,23.5,34.5,54.5,83.1,45.3,,14.2,9.3,11.5,12.3,6.5,5.7,,16.8,8.8,11.2,12.1,7.3,5
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Very remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,21.3,19,17.9,16.2,5.8,16.7,,23.8,17.7,14.9,14.8,2.1,14.4,,7.2,4.9,5.5,6.2,4.8,3.2,,10.4,6.5,5.5,7.3,1.9,3.4
Did not want to study for an educational qualification,78.7,81,82.1,83.8,94.2,83.3,,78.8,83.7,86.1,85.2,99,85.6,,7.2,4.9,5.5,6.2,4.8,3.2,,9.3,7.7,4.9,7.7,2.3,3.5
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,43.3,45.6,33.3,22.5,9.1,33.2,,61.3,47.5,38.6,20.5,6.2,34.7,,9.3,7.9,9.2,7.7,4.7,5.1,,9.5,10,9.4,7.8,3.1,4.5
Does not intent to study in the future,#46.0,46.5,#56.4,68,88.1,58.5,,23.8,38.3,49.5,69.3,89.6,52.7,,10.2,8,10.6,8.7,5.1,5.7,,9.7,8.9,9.8,9.6,5.4,4.2
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Total remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,20.5,21.6,19.6,17.5,5.9,17.6,,23.5,21.1,19.7,15.6,5.8,17.4,,6.2,4.2,4,5.4,3.8,2.5,,8.9,5,4.7,6.1,2.7,2.8
Did not want to study for an educational qualification,79.5,78.4,80.4,82.5,94.1,82.4,,75.6,78.5,81.5,84.4,94.2,82.6,,6.2,4.2,4,5.4,3.8,2.5,,8.4,5.7,5,6.1,3.1,2.8
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,42.9,46,38.9,24.5,8,33.9,,56.3,51.2,42.7,25.5,8.4,36.9,,7.7,6.3,6.5,6.6,3.4,3.8,,7.9,7.6,6.4,7.1,2.9,3.6
Does not intent to study in the future,44.2,42.7,49.2,65.8,88.4,56,,26.1,33,45.2,63.8,85.2,50.3,,8,6.2,8,7,4,4.1,,7.9,6.3,6.8,7.6,4.5,3.2
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,30.2,34,33.1,21.3,10.4,26.9,,34.8,31.6,31.1,19.8,10.4,25.5,,4.9,3.6,3.7,3.6,3,1.9,,6.1,4.2,4,3.5,2.6,2
Did not want to study for an educational qualification,69.8,66,66.9,78.7,89.6,73.1,,65.6,68.3,68.6,80.4,89.5,74.6,,4.9,3.6,3.7,3.6,3,1.9,,4.9,4.6,4.3,3.5,2.6,2
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,52.9,50.8,43.8,28.5,10,38.5,,64.6,59.7,48.4,30.9,11.7,42.7,,5.6,3.9,4.2,4.3,2.7,2.2,,6.8,4.7,4.6,5.1,2.6,2.4
Does not intent to study in the future,28.5,31.7,40,59.2,82.9,46.8,,15.9,20.5,31.7,51.5,79.9,40.3,,4.2,3.6,4.4,4.6,3.7,2.2,,4.4,3.3,4.7,4.6,2.8,2
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Cells in this table containing data have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
np not available for publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Estimate has a relative standard error of 25% to 50% and should be used with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes those whose intentions to study are unknown for 'Whether has future educational intentions.',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,
