"Table D1.18.24: Intentional self-harm mortality rates, by Indigenous status and sex, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,"Indigenous age-standardised rate (per 100,000)(e)",,,,,,,,,,,,,,,,,
Males,30.7,29.7,25.1,25.8,33.4,31.7,26.9,33.7,32.8,37,36.4,37.5,38.3,39.4,0.9*,45.1*,1.0*,29.9*
Females,7.2,n.p.,8.7,7.8,8.1,13.8,11.2,12.1,12.4,12.4,11.2,11.2,11.7,15.2,n.p.,n.p.,0.3,23.8
Persons,18.4,17.2,16.8,16.7,19.9,22.6,18.9,22.7,22.4,24.2,23.5,24.1,24.9,27.1,0.7*,57.8*,0.7*,30.3*
,"Non-Indigenous age-standardised rate (per 100,000)(e)",,,,,,,,,,,,,,,,,
Males,15.5,16.3,16.4,15.4,16.9,15.8,17.3,16.9,18.3,19.5,17.9,20.2,19.6,19.6,0.4*,30.3*,0.4*,23.3*
Females,4.3,4.9,4.6,4.6,4.7,4.7,5.7,5.6,5.9,6.3,5.6,6.4,5.8,6.0,0.1*,43.2*,0.1*,25.2*
Persons,9.8,10.5,10.4,9.9,10.7,10.2,11.4,11.1,12.1,12.8,11.6,13.2,12.6,12.7,0.3*,33.4*,0.3*,23.7*
,Rate ratio(f),,,,,,,,,,,,,,,,,
Males,2,1.8,1.5,1.7,2,2.0,1.6,2.0,1.8,1.9,2.0,1.9,2.0,2.0,. .,. .,. .,. .
Females,1.7,n.p.,1.9,1.7,1.7,2.9,2.0,2.2,2.1,2,2.0,1.8,2.0,2.5,. .,. .,. .,. .
Persons,1.9,1.6,1.6,1.7,1.9,2.2,1.7,2.0,1.9,1.9,2.0,1.8,2.0,2.1,. .,. .,. .,. .
,Rate difference(g),,,,,,,,,,,,,,,,,
Males,15.2,13.4,8.7,10.4,16.6,15.9,9.6,16.8,14.4,17.6,18.5,17.3,18.7,19.8,0.6*,64.6*,0.6,37.3
Females,2.9,n.p.,4.1,3.2,3.4,9.1,5.5,6.6,6.5,6.1,5.6,4.8,5.9,9.2,n.p.,n.p.,0.1,22.1
Persons,8.6,6.7,6.4,6.7,9.2,12.4,7.5,11.6,10.3,11.4,11.8,11.0,12.3,14.4,0.5*,93.1*,0.4*,37.9*
* Represents results with statistically significant increases or declines at the p < 0.05 level over the selected periods.,,,,,,,,,,,,,,,,,,
"(a) Data for 2010 have been adjusted for the additional deaths arising from outstanding registrations of deaths in Queensland in 2010. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
"(b)  Since 2015, the Queensland Registry of Births, Deaths and Marriages used both medical certificate information and death registration form information to derive Indigenous status. This approach has been used in South Australia, Western Australia, Tasmania, the Northern Territory and the Australian Capital Territory since 2007. If either source indicates that the deceased was an Aboriginal and/or Torres Strait Islander person, they are recorded as such. In New South Wales and Victoria, only information from the death registration form is used (see  the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period: https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release)",,,,,,,,,,,,,,,,,,
(c) Annual change is determined using linear regression analysis.,,,,,,,,,,,,,,,,,,
(d) Per cent change is based on the annual change over the period.,,,,,,,,,,,,,,,,,,
"(e) Directly age-standardised using the 2001 Australian standard population, by 5-year age groups up to 75+.",,,,,,,,,,,,,,,,,,
(f) Rate ratio is the age-standardised  rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,,,,
(g) Rate difference is the age-standardised  rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"1. Categories are based on the ICD-10 10th Revision (World Health Organization): Intentional self harm ICD-10 codes X60–X84, Y87.0.",,,,,,,,,,,,,,,,,,
"2.  A number of deaths occur each year for which the Indigenous status is not stated on the death registration form—0.8% of all deaths registered in 2019. Thus, there is some degree of under-identification of Indigenous people in mortality data. For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019)",,,,,,,,,,,,,,,,,,
"3.  All causes of death data from 2006 onward are subject to a revisions process. Once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2006-2017 (final), 2018 (revised)  2019 (preliminary). For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/health/causes-death/causes-death-australia/latest-release) and ABS Deaths, Australia, 2019 reference period (https://www.abs.gov.au/statistics/people/population/deaths-australia/latest-release).",,,,,,,,,,,,,,,,,,
"4. Care needs to be taken in interpreting figures relating to intentional self-harm. For further information, see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019).",,,,,,,,,,,,,,,,,,
5.  Population estimates for non-Indigenous Australians were derived by subtracting Aboriginal and Torres Strait Islander backcast population estimates and projections (series B) based on the 2016 Census from the total Australian Estimated Resident Population.,,,,,,,,,,,,,,,,,,
"6. Data are reported for 5 jurisdictions combined—New South Wales, Queensland, Western Australia, South Australia and the Northern Territory. These jurisdictions are considered to have adequate levels of Indigenous identification in mortality data. ",,,,,,,,,,,,,,,,,,
7. These data exclude 584 registered deaths where the Indigenous status was not stated over the period 2006–2019.,,,,,,,,,,,,,,,,,,
"8. Deaths are counted according to year of registration, note that some deaths are not registered in the same year that it occurred. ",,,,,,,,,,,,,,,,,,
9. Deaths for which the age at death was not recorded were excluded from the calculation of age-standardised rates.,,,,,,,,,,,,,,,,,,
"10. Coronial cases are more likely to be affected by a lag in registration time, especially those which are due to external causes (injury and poisoning), including intentional self-harm, homicide and drug-related deaths. Due to small numbers these lagged coroner-referred registrations can create large yearly variation in some causes of deaths of Aboriginal and Torres Strait Islander persons. Caution should be taken when making year to year analysis.  ",,,,,,,,,,,,,,,,,,
"11. Data by causes of death have been adjusted for Victorian additional death registrations in 2019. A time series adjustment has been applied to causes of death to enable a more accurate comparison of mortality over time. When the time series adjustment is applied, deaths are presented in the year in which they were registered (i.e. removed from 2019 and added to 2017 or 2018). For further information see the methodology notes in ABS Causes of Deaths, Australia, 2019 reference period (https://www.abs.gov.au/methodologies/causes-death-australia-methodology/2019)",,,,,,,,,,,,,,,,,,
"12. Deaths are counted according to year of registration of death, and state or territory of usual residence.",,,,,,,,,,,,,,,,,,
Source: AIHW National Mortality Database.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
